"location","lon","lat","date","region","travel","roles"
"London",-0.1277583,51.5073509,"07/01/2016 23:44:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Pittsburgh, USA",-79.9958864,40.4406248,"07/01/2016 23:50:00","NA (North America)","To my nearest city","Attending a satRday"
"Henley-on-Thames, Oxfordhire",NA,NA,"08/01/2016 00:14:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping publicise the events, Presenting at a satRday, Introduce new tools for R - OLAP on Hadoop from AtScale"
"Buckner, IL",NA,NA,"08/01/2016 00:48:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping with central organisation"
"Trinity,FL USA",NA,NA,"08/01/2016 00:50:00","NA (North America)","To my nearest city","Attending a satRday, Helping publicise the events"
"United Kingdom",-3.435973,55.378051,"08/01/2016 01:40:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"somerset, nj",NA,NA,"08/01/2016 02:23:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping improve the website"
"Bangalore, India",NA,NA,"08/01/2016 02:32:00","APAC (Asia - Pacific)","To anywhere in the the world","Attending a satRday, Helping out a satRday, Helping improve the website"
"Fayetteville, AR",NA,NA,"08/01/2016 03:06:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Sydney, Australia",151.2069902,-33.8674869,"08/01/2016 04:18:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Bangalore, India",NA,NA,"08/01/2016 04:46:00","APAC (Asia - Pacific)","To anywhere in my country","Attending a satRday, Helping out a satRday, Organising a satRday"
"Tampa, United States",NA,NA,"08/01/2016 04:59:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Delhi, India",NA,NA,"08/01/2016 05:29:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday"
"San Diego",-117.1610838,32.715738,"08/01/2016 05:46:00","NA (North America)","To my nearest city","Attending a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 05:54:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Singapore, Singapore",NA,NA,"08/01/2016 07:00:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday"
"Aurora, Colorado",NA,NA,"08/01/2016 07:02:00","NA (North America)","To anywhere in my country","Presenting at a satRday, Helping improve the website"
"Uk London",-0.1277583,51.5073509,"08/01/2016 07:09:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Hamburg, Hamburg, Germany",9.9936818,53.5510846,"08/01/2016 07:26:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday, Helping improve the website, Helping with central organisation, Actually I'm a complete novice on R but wanna learn it Step by Step..."
"London, United Kingdom",-0.1277583,51.5073509,"08/01/2016 07:30:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Helping with central organisation"
"London",-0.1277583,51.5073509,"08/01/2016 07:52:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"LONDON, UK",-0.1277583,51.5073509,"08/01/2016 08:15:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"London, England",-0.1277583,51.5073509,"08/01/2016 08:15:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"London, United Kingdom",-0.1277583,51.5073509,"08/01/2016 08:50:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation"
"Northampton",NA,NA,"08/01/2016 08:56:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"London, England",-0.1277583,51.5073509,"08/01/2016 08:57:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 09:17:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday"
"London",-0.1277583,51.5073509,"08/01/2016 10:23:00","EMEA (EU, Middle East & Africa)","To my nearest city","Helping out a satRday, Helping improve the website, Helping with central organisation"
"Singapore",NA,NA,"08/01/2016 10:23:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 10:54:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Henley on THames, UK",NA,NA,"08/01/2016 10:55:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 10:56:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping improve the website"
"London",-0.1277583,51.5073509,"08/01/2016 11:14:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Cardiff",-3.17909,51.481581,"08/01/2016 11:17:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Glasgow, Scotland",NA,NA,"08/01/2016 11:37:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 11:44:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"New York, USA",NA,NA,"08/01/2016 11:54:00","NA (North America)","To my nearest city","Attending a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 11:55:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Presenting at a satRday, Helping with central organisation"
"Erie, PA USA",-80.085059,42.1292241,"08/01/2016 12:06:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Las Vegas, Nevada",-115.1398296,36.1699412,"08/01/2016 12:09:00","NA (North America)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"pune, India",NA,NA,"08/01/2016 12:13:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday"
"pune, India",NA,NA,"08/01/2016 12:14:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday"
"Gloucester, UK",-2.238156,51.8642449,"08/01/2016 12:16:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Norfolk, VA, USA",NA,NA,"08/01/2016 12:17:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Helping with central organisation"
